rater_name,pair_id,is_duplicate,readability_choice,substance_choice,side_assignment,chosen_read_doc,chosen_sub_doc,doc_a_quality,doc_b_quality,doc_a_edu,doc_b_edu,readability_agr,substance_agr,axes_diverged
Axel,c6c8c9f2-e4cf-40b3-8fad-8e4ba0f806fd,0,b_slight,b_slight,a_right,a,a,adequate,good,moderate,moderate,disagree,tie,False
Axel,ddd92693-a451-4f61-bfff-988822a21056,0,a_much,a_slight,a_right,b,b,poor,good,minimal,basic,agree,agree,False
Axel,4cc2182a-c0a7-40f4-a442-64f1561b982b,0,a_much,a_slight,a_left,a,a,excellent,poor,high,moderate,agree,agree,False
Axel,27dfe530-8438-4fa9-bc65-778e353da980,0,b_slight,b_slight,a_right,a,a,adequate,unacceptable,none,none,agree,tie,False
Axel,9b113a1b-dd33-4fc2-a281-451d848bae6b,0,b_slight,a_slight,a_left,b,a,poor,excellent,moderate,moderate,agree,tie,True
Axel,78357d22-4599-47b1-ba3d-e0983a8c8d46,0,a_slight,a_much,a_left,a,a,poor,good,basic,basic,disagree,tie,False
Axel,c90f6128-c3e1-49f2-af58-a529dcb4ebc8,1,a_slight,b_slight,a_left,a,b,poor,poor,minimal,minimal,tie,tie,True
Axel,41eba66f-39ff-49ff-b140-33617a287774,1,b_much,a_slight,a_left,b,a,excellent,excellent,minimal,none,tie,agree,True
Axel,7db28112-e172-4df2-984a-546ac23cc910,0,a_slight,a_slight,a_left,a,a,excellent,excellent,minimal,minimal,tie,tie,False
Axel,9ae2a70c-b692-4ead-be02-2265d1a61863,0,a_slight,a_slight,a_left,a,a,unacceptable,unacceptable,minimal,basic,tie,disagree,False
Axel,b83bcd14-d422-4309-9c2e-270f0f72d5f3,0,a_slight,a_slight,a_left,a,a,poor,good,moderate,none,disagree,agree,False
Felix,6dbc861e-9a70-4630-99c2-c77469d9bf47,1,a_slight,a_slight,a_right,b,b,good,excellent,basic,moderate,agree,agree,False
Felix,0179a4e5-d09f-429b-a1fc-e3db5d231468,0,b_much,b_much,a_right,a,a,excellent,unacceptable,none,none,agree,tie,False
