id,quality_score,content_integrity,content_ratio,content_length,one_sentence_description,content_type,business_sector,technical_content,information_density,content_quality,audience_level,commercial_bias,time_sensitivity,content_safety,educational_value,reasoning_indicators,pii_presence,regional_relevance,country_relevance,full_doc_lid_score,duplicate_count,full_doc_lid,minhash_cluster_size,gold_score,llm_educational_value,llm_content_quality,source
8e0ed346-a6fb-4be1-98ca-23ae9d3b5cc4,0.5,complete,complete_content,substantial,Academic thesis examining Swedish teachers' perceptions of reading pleasure and motivation in the classroom.,['analytical'],"['academic_research', 'education_sector']",['scientific'],dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],1.000008463859558,0.0,swe_Latn,1.0,0.8,0.3,0.8,extreme_sample_top
<urn:uuid:333655fc-5419-4e7e-a497-f82dde46a087>,0.78,complete,complete_content,substantial,Academic article analyzing the effects of digitalization on job practices and professional isolation among Swedish work environment inspectors.,['analytical'],"['academic_research', 'government_public', 'human_resources']",['scientific'],dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],1.0000098943710327,0.0,swe_Latn,2.0,0.9,0.7,0.9,extreme_sample_top
<urn:uuid:0a9c7e6d-3ee9-4f23-9125-00ecd356b38e>,0.78,complete,complete_content,substantial,Academic thesis analyzing Swedish sea shanties from 1918-1949 as cultural texts reflecting on national identity and maritime life.,"['analytical', 'review_critique']","['academic_research', 'education_sector']",['non_technical'],dense,excellent,expert,none,evergreen,safe,high,analytical,no_pii,['european'],['sweden'],1.000003457069397,0.0,swe_Latn,1.0,0.9,0.7,0.9,extreme_sample_top
<urn:uuid:045e301d-641c-4025-b372-3cdebeabfe0a>,0.48,complete,complete_content,substantial,Official Finnish government ordinance specifying construction guidelines and technical requirements for lightweight concrete block structures.,"['specification_standard', 'technical_documentation', 'legal_document']","['government_public', 'real_estate_construction', 'manufacturing_industrial']","['engineering', 'math_heavy']",dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['finland'],1.000009536743164,0.0,swe_Latn,1.0,0.9,0.2,0.9,extreme_sample_top
<urn:uuid:83f863e8-9db9-4e8f-9099-430a853c820a>,0.56,complete,complete_content,substantial,A project report on the implementation of the Individual Placement and Support (IPS) method for employment rehabilitation in Sweden.,['analytical'],"['government_public', 'healthcare_medical', 'human_resources', 'nonprofit_ngo']",['basic_technical'],dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],1.0000100135803225,0.0,swe_Latn,1.0,0.8,0.4,0.8,extreme_sample_top
d4a1ecb2-9c23-4ade-a145-653c868268ed,0.72,complete,complete_content,substantial,"A literature review analyzing parents' experiences of perinatal death, including causes, grief processes, and supportive care.",['analytical'],"['academic_research', 'healthcare_medical', 'education_sector']",['scientific'],dense,excellent,advanced,none,slowly_changing,safe,high,analytical,no_pii,"['european', 'global']",['sweden'],0.9999923706054688,0.0,swe_Latn,1.0,0.9,0.6,0.9,extreme_sample_top
<urn:uuid:5865af52-4f93-45ef-9444-b90b40f4e67e>,0.6000000000000001,complete,complete_content,substantial,Research report analyzing consumer behavior regarding health and environmental product information using experimental methods.,['analytical'],"['academic_research', 'retail_commerce', 'agriculture_food', 'government_public']","['scientific', 'data_heavy']",dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],1.0000098943710327,1.0,swe_Latn,2.0,0.9,0.4,0.9,extreme_sample_top
<urn:uuid:bb72ad57-a60a-448d-9522-0e240ef26d68>,0.72,complete,complete_content,moderate,"Official scoring guide for a Swedish medical examination on general practice, covering surgery, internal medicine, and psychiatry.","['qa_structured', 'instructional', 'reference']","['healthcare_medical', 'education_sector', 'government_public']",['scientific'],dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],1.000004529953003,0.0,swe_Latn,1.0,0.9,0.6,0.9,extreme_sample_top
<urn:uuid:57252493-8d24-4a42-92b0-7fb1b01971b0>,0.78,complete,complete_content,substantial,"Collection of academic reviews for Swedish historical publications covering topics like time, urban development, and labor history.","['review_critique', 'analytical']","['academic_research', 'education_sector']",['non_technical'],dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],"['sweden', 'denmark', 'finland', 'germany']",1.000009536743164,0.0,swe_Latn,1.0,0.9,0.7,0.9,extreme_sample_top
<urn:uuid:05ee4f4b-a82b-4b10-8bfc-274d8ef95ab8>,0.8400000000000001,complete,complete_content,substantial,"Economic analysis of the global trend towards lower real interest rates, examining structural factors like demographic changes and savings rates.","['analytical', 'opinion_editorial']","['financial_services', 'academic_research', 'government_public']","['scientific', 'data_heavy']",dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,"['global', 'north_american', 'european']","['united_states', 'china', 'sweden', 'supranational']",1.0000094175338743,0.0,swe_Latn,1.0,0.9,0.8,0.9,extreme_sample_top
053c6753-49a7-4aec-b6ea-8388f59871e6,0.78,complete,complete_content,substantial,Academic thesis analyzing dominant planning thinking at Trafikverket and the marginalization of social differences in Swedish transport planning.,['analytical'],"['academic_research', 'government_public', 'transportation_logistics']",['scientific'],dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],0.9999327659606934,0.0,swe_Latn,1.0,0.9,0.7,0.9,extreme_sample_top
<urn:uuid:de8d70bd-0b1e-4c8e-aed7-f06553bb60dc>,0.56,complete,complete_content,moderate,"University economics examination covering microeconomics, public finance, and political economy theory.","['qa_structured', 'instructional']","['academic_research', 'education_sector']","['math_heavy', 'scientific']",dense,excellent,advanced,none,evergreen,safe,high,analytical,no_pii,['european'],['sweden'],1.000009059906006,0.0,swe_Latn,2.0,0.8,0.4,0.8,extreme_sample_top
e9ee0b93-456c-4228-8cbd-a54327b9fb06,0.56,complete,complete_content,substantial,"Collection of articles from 1970 discussing the development, role, and future trends of geotechnics in Sweden.","['analytical', 'opinion_editorial']","['consulting_professional', 'real_estate_construction', 'government_public', 'education_sector', 'academic_research']","['engineering', 'basic_technical']",dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],1.0000098943710327,0.0,swe_Latn,1.0,0.8,0.4,0.8,extreme_sample_top
<urn:uuid:8798f03b-96c1-40bc-9bbd-c73a0823e148>,0.56,complete,complete_content,substantial,Project report analyzing reasons for employee non-participation in corporate health check-ups at a Swedish waste management company.,['analytical'],"['healthcare_medical', 'human_resources', 'environmental_services', 'academic_research']","['scientific', 'data_heavy']",dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],1.000009536743164,0.0,swe_Latn,2.0,0.8,0.4,0.8,extreme_sample_top
524d18c8-0074-4602-a62d-64a9d0c5bf7b,0.44,complete,complete_content,substantial,"A newsletter from the Swedish University of Agricultural Sciences covering climate change, forestry, and agricultural policy.","['news_report', 'analytical', 'opinion_editorial']","['academic_research', 'agriculture_food', 'environmental_services', 'government_public']","['scientific', 'data_heavy']",dense,excellent,advanced,minimal,regularly_updating,safe,high,analytical,no_pii,['european'],"['sweden', 'finland', 'denmark']",1.000008225440979,0.0,swe_Latn,1.0,0.8,0.2,0.8,extreme_sample_top
<urn:uuid:2a539728-679a-468d-9336-be5522974f06>,0.74,complete,complete_content,moderate,"Historical article analyzing the Battle of Jutland, focusing on its outcome and significance for World War I naval strategy.","['analytical', 'opinion_editorial']","['academic_research', 'government_public']",['non_technical'],dense,excellent,advanced,none,evergreen,safe,high,analytical,no_pii,['european'],"['united_kingdom', 'germany', 'sweden']",0.9999558925628662,1.0,swe_Latn,1.0,0.8,0.7,0.8,extreme_sample_top
40ab350e-30b7-4971-ad3a-3e5288736721,0.38,complete,complete_content,substantial,"Issue of a 1947 Swedish radio magazine featuring articles on television technology, radio receiver design, and amateur radio construction.","['instructional', 'technical_documentation', 'procedural', 'news_report']","['hardware_electronics', 'telecommunications', 'education_sector']","['engineering', 'scientific']",dense,excellent,expert,minimal,evergreen,safe,high,analytical,no_pii,['european'],['sweden'],1.000005125999451,0.0,swe_Latn,1.0,0.8,0.1,0.8,extreme_sample_top
<urn:uuid:c10ff417-9344-4391-b629-e5ec853bcefa>,0.48,complete,complete_content,brief,University course syllabus for an introductory course in Swedish civil and real estate law.,"['instructional', 'reference']","['education_sector', 'legal_services']",['non_technical'],dense,excellent,beginner,none,slowly_changing,safe,high,explanatory,no_pii,['european'],['sweden'],1.0000053644180298,1.0,swe_Latn,2.0,0.9,0.2,0.9,extreme_sample_top
b828bd58-4441-4abc-b4de-80d3301f2974,0.6000000000000001,complete,complete_content,moderate,Academic working paper analyzing the development of tourism for the Kvarken Bay World Heritage site in Ostrobothnia.,['analytical'],"['academic_research', 'government_public', 'hospitality_tourism']",['scientific'],dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['finland'],1.0000079870224,0.0,swe_Latn,1.0,0.9,0.4,0.9,extreme_sample_top
36b7856e-7314-415c-a132-7fc68d1976aa,0.6000000000000001,mostly_complete,complete_content,substantial,Academic thesis investigating factors influencing trust in e-commerce service transactions and proposing design principles.,['analytical'],"['academic_research', 'technology_software', 'retail_commerce', 'consulting_professional']",['scientific'],dense,excellent,advanced,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],1.000009536743164,0.0,swe_Latn,1.0,0.9,0.4,0.9,extreme_sample_top
<urn:uuid:edc977ae-f383-4b66-8946-76e935e0e97f>,0.5,complete,complete_content,substantial,"A Swedish Air Force newsletter from 1994 covering the annual report, Gripen trials, Farnborough updates, and GPS technology.","['news_report', 'analytical', 'technical_documentation']","['aerospace_defense', 'government_public']","['engineering', 'scientific', 'basic_technical']",dense,excellent,expert,none,time_sensitive,safe,high,analytical,no_pii,"['european', 'russian_sphere', 'north_american']","['sweden', 'russia', 'united_kingdom', 'united_states']",1.000009536743164,0.0,swe_Latn,1.0,0.8,0.3,0.8,extreme_sample_top
<urn:uuid:c3feb70c-a739-4224-a883-51354b58290c>,0.6000000000000001,complete,complete_content,substantial,Academic thesis analyzing the impact of employee identification and group cohesion on job satisfaction in a Swedish public organization.,['analytical'],"['academic_research', 'human_resources']","['scientific', 'data_heavy']",dense,excellent,expert,none,slowly_changing,safe,high,analytical,no_pii,['european'],['sweden'],1.0000098943710327,0.0,swe_Latn,1.0,0.9,0.4,0.9,extreme_sample_top
