doc_id,score,wins,losses,n_comparisons
<urn:uuid:7c044e03-96f0-4cef-8bf5-a718dd55dc39>,1.0,2,0,2
3e0fe183-d43e-4e18-bd42-049cadc3624b,0.9667,4,0,4
<urn:uuid:4540556c-7f63-4e62-9d73-afd0ff3ca7b3>,0.9423,4,0,4
<urn:uuid:8b1f8f5d-aee9-4be0-bfe2-36e43181246e>,0.9418,2,0,2
<urn:uuid:dfbf6c2f-a5f0-478d-b2fd-b857cd730800>,0.9292,6,0,6
<urn:uuid:089a9eb5-b8a0-40fc-a78e-2d2749b12c57>,0.8784,5,1,6
<urn:uuid:6ae9f8f3-e889-407f-b324-061e265abfdd>,0.8781,4,0,4
<urn:uuid:2ab29baa-2947-402f-945e-26ddaf89663d>,0.8781,4,0,4
<urn:uuid:edcee736-9aaf-4172-8843-428021bab1f3>,0.8653,4,0,4
<urn:uuid:7b714145-6f11-46d9-84ed-c012fecccec3>,0.8576,2,0,2
<urn:uuid:1d97a611-b3e4-4709-a3c5-bd8212d43fcc>,0.8242,4,0,4
<urn:uuid:05bba2ec-d0e5-45da-a945-e4bb97197fff>,0.8009,5,1,6
<urn:uuid:003b912f-9d87-41e9-9fc7-a0ab5224fc4d>,0.7958,4,0,4
<urn:uuid:93aaa319-e33e-42de-981a-f1b25265c4fb>,0.7958,4,0,4
<urn:uuid:01cbf461-5633-46b5-9272-1a00966b5439>,0.764,5,1,6
<urn:uuid:a94f7a19-9f5d-4a8a-9d33-2f2c0a686e25>,0.7561,3,1,4
<urn:uuid:e33308b9-7ad4-4274-993e-86755272a00b>,0.7513,6,2,8
0e5e47d2-04ae-4dff-9c92-65679abc3d4d,0.736,2,0,2
<urn:uuid:63c35f9e-80ed-4bd5-98c5-798cbcb5bee5>,0.736,2,0,2
<urn:uuid:6331ec5a-d95d-4ced-ad33-61350401dc3b>,0.736,2,0,2
<urn:uuid:60aa1aa2-33a1-44d5-9102-461ef4d027c4>,0.736,2,0,2
<urn:uuid:38e830b1-bdd5-448c-855c-4cc13d017943>,0.736,2,0,2
<urn:uuid:8ea18def-3a8d-4601-a7b1-8f007efd0751>,0.736,2,0,2
<urn:uuid:6cfaf639-4b11-470c-a207-5f0a1ddb995c>,0.736,2,0,2
<urn:uuid:a676671f-481e-4802-9a6a-9b66b09631ab>,0.736,2,0,2
59b9527b-7cc4-43fe-9129-410a8be72cdb,0.736,2,0,2
<urn:uuid:41e6b553-8c9a-48ca-9151-a7c7b3dff5e7>,0.736,2,0,2
a7bd6e1a-e145-47d7-9ba7-a1abbcdfa6cc,0.736,2,0,2
<urn:uuid:f753b777-26c2-47fe-b65f-c208eb9dcbd3>,0.736,2,0,2
<urn:uuid:fe814cec-22a5-4694-b5b1-0e93bcbf890d>,0.7276,4,2,6
63f153e4-2e57-44ae-8e15-1e400085e132,0.7273,5,1,6
<urn:uuid:4b4202b6-f20b-4681-923f-b2b9e4f3c89f>,0.7219,2,0,2
<urn:uuid:db24689d-8281-4a26-adde-268f58ae56ab>,0.7219,2,0,2
<urn:uuid:8ad00649-08ce-48ee-9e5c-125acce763ae>,0.7214,4,0,4
<urn:uuid:eb321457-c22f-49c6-8a67-7c4f09ad8f19>,0.7062,2,2,4
6333ebfe-8035-4a4e-a213-5ea0f7449814,0.6993,2,2,4
2514ffad-95b0-44d4-ae8a-84af432620ce,0.6935,2,0,2
<urn:uuid:aa23c3f6-0c8c-4f1d-b205-3cc0db648179>,0.69,2,2,4
<urn:uuid:d560d65b-f61b-41a2-85a4-e6a97e698d73>,0.6831,1,1,2
<urn:uuid:2f9d43d5-82a7-4404-8302-100378a31470>,0.6776,1,1,2
<urn:uuid:96e8b1b4-3e32-45c5-911f-5a47e8d5d5d2>,0.6701,2,0,2
<urn:uuid:8a07ced8-9418-493d-ba3e-207e3a62dce2>,0.6701,2,0,2
<urn:uuid:2c210207-e483-431d-86ec-cc9fea270d5f>,0.6645,3,1,4
<urn:uuid:e50c4db4-2fa6-459f-b0be-3a5bb5f0dce2>,0.6579,1,1,2
eeab57dc-c3a2-4280-ac3a-02c2592136b4,0.6502,3,1,4
<urn:uuid:5b9161fa-9c0f-4c43-9358-f7e5ae93e273>,0.6499,2,0,2
<urn:uuid:0b429479-ef00-4a10-82fb-05e9d4fe8877>,0.6432,3,1,4
<urn:uuid:b641d1c7-ac5d-4fc1-8df9-52c8f959814e>,0.6407,4,2,6
cad63d42-88f9-40da-9560-8cc83a19697d,0.6229,4,2,6
<urn:uuid:fa375237-1021-44c0-bf4d-fd1af538b93e>,0.6151,2,0,2
<urn:uuid:a4d3f0f0-d076-4e37-8c28-82e4d90076f3>,0.5712,1,3,4
<urn:uuid:277b0599-6c4f-4dbb-86ac-530a3ca70165>,0.5638,3,1,4
<urn:uuid:4ae9dabb-1930-44e9-a3dd-8a9e224dec65>,0.5581,4,2,6
<urn:uuid:09c864cc-f2e8-418c-a199-455d5136bd03>,0.5549,3,1,4
104a4616-5a2e-48e5-b2ab-238e79524fd4,0.5439,1,1,2
<urn:uuid:3ef24039-2e89-4703-a6af-fdae3eddc39b>,0.5153,2,2,4
<urn:uuid:981920d8-b259-4046-b0ab-6d5764c4da7f>,0.5153,1,1,2
<urn:uuid:7a34dd86-74dd-4367-b673-a3cbd88ad140>,0.5153,1,1,2
<urn:uuid:ee189df2-802d-4d0f-8737-f1cf98fe6de7>,0.5153,2,2,4
4e61c529-f7fb-4940-959b-0a0a20e2f935,0.5153,2,2,4
<urn:uuid:49c10202-0311-4bbc-a27f-93bed6d1c79e>,0.5153,1,1,2
<urn:uuid:6f5f7542-b4e6-4eb0-b60c-3d47d26cad23>,0.5153,1,1,2
<urn:uuid:a8e9d95a-bdcc-42e1-b703-03be8c52f6e1>,0.5153,1,1,2
<urn:uuid:ae06b0bf-f0ca-4538-ab2e-242192b362bb>,0.5153,2,2,4
<urn:uuid:af613f7f-cb5f-4ef4-a68d-cc2393289b11>,0.5153,2,2,4
<urn:uuid:b76ea6f8-4a36-4cf3-84a9-312fb70b05f5>,0.5153,1,1,2
175e726f-acf5-4a7f-ba61-79db100a51ce,0.5153,1,1,2
<urn:uuid:7dac7794-5926-4ccd-b4e4-b3c32fd7f030>,0.5153,2,2,4
d64bbf57-068b-4597-8796-539a220985b8,0.5153,1,1,2
<urn:uuid:69b2ac69-5192-4340-83e8-a7a96ee74e3d>,0.5153,1,1,2
<urn:uuid:55c1d890-6eb4-4e16-90b1-01663e6734c2>,0.5153,2,2,4
<urn:uuid:fd1e7ea7-31bc-4aee-81a5-95c90fd8de33>,0.5153,1,1,2
<urn:uuid:6d348b60-271e-4b14-b41e-1c9163f82eff>,0.5153,1,1,2
<urn:uuid:615dc607-e437-4ade-8f87-66eba73df26c>,0.5153,1,1,2
<urn:uuid:b98a7ec3-d0c0-4dd9-81e5-a2b42195fa9c>,0.5022,1,3,4
<urn:uuid:7989d945-a3b8-400a-87cb-28c9bc27dfc0>,0.4993,2,2,4
<urn:uuid:29e0b223-e061-426b-8057-a26f7d3cf71b>,0.473,2,2,4
<urn:uuid:ff2cf7a0-9672-4979-b353-2a2b933da3ab>,0.4491,1,3,4
<urn:uuid:b065563a-a870-47d3-a52d-ad8c974c0ee0>,0.4055,1,1,2
<urn:uuid:18bfc2cb-c93d-4005-ae39-c57784058ba9>,0.3856,0,2,2
c6ca9393-08de-4370-8f2a-0fde5e2f1bcd,0.3808,0,2,2
<urn:uuid:adc8245b-2f7f-468d-b777-0d6dbc53ae1f>,0.3804,1,3,4
<urn:uuid:19c066fb-f716-44c9-90f1-a54841f6f992>,0.3802,1,1,2
<urn:uuid:7a19cd7f-96d7-4c0b-98c0-74a138b99b14>,0.3768,2,2,4
<urn:uuid:ed19a877-39d8-42ba-89b6-7d9e0ae92a2c>,0.3606,0,2,2
<urn:uuid:91b6eb3b-16ad-486d-9078-54ba040ba4d7>,0.3606,0,2,2
<urn:uuid:6067bd95-f214-4fb0-b376-1afd577677a7>,0.3606,0,2,2
<urn:uuid:1e545a29-c4a4-4ede-b8ef-7c6ad467bcca>,0.3606,0,2,2
<urn:uuid:0d671019-4ad9-4106-b21b-51c77e3e2bba>,0.3606,0,2,2
<urn:uuid:80aad4ab-2bbd-4af4-b586-6ce8959c3d8d>,0.3552,0,2,2
<urn:uuid:0654bf94-41c6-4c67-a6be-7cd2b61bfd39>,0.3515,1,3,4
<urn:uuid:4f5bfaa5-5059-4c9d-88cd-779a591cd37a>,0.3476,1,1,2
<urn:uuid:93be267e-e9a8-4ff5-a173-fb3d7e9f2831>,0.3417,1,5,6
<urn:uuid:c3936f49-23af-46eb-9c8f-8dce0cb7eb3e>,0.3372,0,2,2
70bb4db1-6dc8-4501-b653-cf47b25324f8,0.3314,2,2,4
<urn:uuid:c59e16c6-777e-4340-b140-35f86e02d6b0>,0.3283,1,5,6
<urn:uuid:f9be74eb-4ea7-47c6-bf90-a0b7baa8c679>,0.3265,0,2,2
<urn:uuid:0475609e-7be5-4f3c-a7d6-89fdd844763c>,0.3142,1,3,4
15e6c994-7eb0-452b-ac70-4c8ac600724d,0.3093,0,4,4
58953c5a-5192-48cf-a98f-8d18b443aca0,0.3088,0,2,2
<urn:uuid:a6c04244-5384-4a1e-9125-1063b4c34b85>,0.3088,0,2,2
<urn:uuid:655ac686-02f5-4638-acb4-3372065d5eac>,0.3024,0,2,2
<urn:uuid:edb58c15-e916-47f2-999b-49d32766529d>,0.3024,0,2,2
1c6601cf-3f92-4edb-80dd-0d55df101549,0.2947,0,2,2
92d4eb2a-c2f6-4ae9-b9be-e7ae4da6af33,0.2947,0,2,2
<urn:uuid:a150e3a1-40e5-4f55-add8-f64144782ec4>,0.2947,0,2,2
<urn:uuid:b9c1077e-6d92-401a-baff-399d8a875fea>,0.2947,0,2,2
<urn:uuid:b9729ce4-b196-4d25-966e-ea751d524aa8>,0.2947,0,2,2
<urn:uuid:534b5ec2-f600-4d0e-bde5-ac7d2978a98f>,0.2947,0,2,2
<urn:uuid:56cf201f-bca3-4f01-8b29-c5cca8c7b293>,0.2947,0,2,2
<urn:uuid:5f4e71fb-0745-456e-a37d-7338cfe29695>,0.2947,0,2,2
<urn:uuid:046abfe0-0edc-4278-a48e-77c601595190>,0.2947,0,2,2
<urn:uuid:a80e23a5-496f-40df-9606-b6c24703d505>,0.2947,0,2,2
<urn:uuid:35af2409-524f-4e12-9635-41ac9e57ca55>,0.2947,0,2,2
<urn:uuid:271d64d6-1e4f-4653-bc6d-3cb7cafc9653>,0.2947,0,2,2
<urn:uuid:1b05ba40-d57c-414b-995d-66afbdc6dc22>,0.2903,0,2,2
08a3c629-a982-4e24-ab1b-cab9642bf24e,0.2707,1,1,2
<urn:uuid:f2d06d49-9b31-48ef-9f8b-0a2caf7602ab>,0.2667,1,5,6
<urn:uuid:7b9b1b5c-47b4-4463-90f9-3e2a4b13a15f>,0.2426,0,2,2
<urn:uuid:5cb63cc9-a9a3-435b-b6b4-b966b52254ab>,0.2348,0,4,4
<urn:uuid:3a08c63d-6f3d-4765-a90b-ddebcec7d852>,0.2348,0,4,4
<urn:uuid:79977115-7609-4382-8f93-1ac7c097d109>,0.2322,0,2,2
<urn:uuid:18a6d7ca-0717-4a9d-9363-2a241a8ab8c7>,0.2065,0,4,4
<urn:uuid:af7eb2f5-5a1c-4eb0-be44-898a71932e6a>,0.1959,0,2,2
6aa0d4b5-4534-4a45-9f51-bc02ede4bac4,0.1574,1,5,6
<urn:uuid:cf578804-d34e-46fe-b577-dd114e0f8ef8>,0.1525,0,4,4
724fac33-417f-47df-9d7a-063819ae212a,0.1014,0,6,6
<urn:uuid:9d8f8870-5ecd-4804-af8d-ce26804e997b>,0.036,0,6,6
<urn:uuid:2fcce52f-794a-48c7-9bf8-ac7f25f70737>,0.0307,0,2,2
<urn:uuid:5f3c05d7-05d4-4b80-8206-acec6186cab7>,0.0,0,4,4
