id,quality_score,content_integrity,content_ratio,content_length,one_sentence_description,content_type,business_sector,technical_content,information_density,content_quality,audience_level,commercial_bias,time_sensitivity,content_safety,educational_value,reasoning_indicators,pii_presence,regional_relevance,country_relevance,full_doc_lid_score,duplicate_count,full_doc_lid,minhash_cluster_size,gold_score,llm_educational_value,llm_content_quality,source
<urn:uuid:e13450c6-ba3c-4bd0-9d90-5496a0f6e885>,0.18,fragment,minimal_content,minimal,Footer fragment from a TCPDF-generated document containing a title for a summary of Egypt.,['boilerplate'],['other'],['non_technical'],empty,poor,general,none,evergreen,safe,none,none,no_pii,['middle_eastern'],['egypt'],0.7847222685813904,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:243b8379-5b15-4cc7-aadc-511b7d8670f9>,0.22,fragment,minimal_content,minimal,A list of appended price lists for DHL freight services effective from May 2018.,"['structured_data', 'transactional']",['transportation_logistics'],['non_technical'],empty,poor,general,moderate,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9996578693389891,1.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:836d3c5b-7c01-4d66-8531-9a78627f7d83>,0.3,fragment,mostly_navigation,minimal,Fragmented data sheet for a Weidmueller industrial Ethernet interface containing headers and contact information.,"['technical_documentation', 'reference', 'structured_data']","['hardware_electronics', 'manufacturing_industrial']",['basic_technical'],thin,poor,expert,minimal,slowly_changing,safe,none,none,no_pii,['european'],['germany'],0.9872843027114868,0.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:be04e55f-2109-4f02-b678-470e4b290cca>,0.42,fragment,mostly_navigation,minimal,Fragment containing a title and links regarding sustainable development methods in the Goteborg region.,['boilerplate'],"['government_public', 'environmental_services']",['non_technical'],empty,poor,general,none,slowly_changing,safe,none,none,no_pii,['european'],['sweden'],0.9993799328804016,1.0,swe_Latn,1.0,0.6,0.3,0.6,extreme_sample_bottom
<urn:uuid:15af7634-a6f2-4cec-9663-c7f9ed32f3fa>,0.18,fragment,mixed_content,brief,Fragmented list of Swedish horse racing training stalls and betting odds from March 2019.,"['structured_data', 'transactional']","['gambling_betting', 'media_entertainment']",['non_technical'],thin,poor,general,moderate,time_sensitive,safe,none,none,contains_pii,['european'],['sweden'],0.9030476212501526,1.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:bd7e4ecf-9ef1-4ac4-8b0d-2bc0c21ca4d4>,0.18,fragment,mixed_content,brief,"A collection of announcements, descriptions, and sales information for the Swedish book 'V4lkommen till fjllvrden'.","['transactional', 'press_release']","['media_entertainment', 'hospitality_tourism', 'retail_commerce']",['non_technical'],thin,poor,general,heavy,time_sensitive,safe,minimal,none,no_pii,['european'],['sweden'],1.0000064373016355,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:7d2ffcef-7813-4f2e-b9a8-e9e1a51a28da>,0.14,fragment,mixed_content,brief,A fragmented collection of bibliographic entries and snippets regarding historical and cultural texts about Sweden.,"['reference', 'structured_data']","['academic_research', 'general_interest']",['non_technical'],thin,poor,general,minimal,evergreen,safe,minimal,none,no_pii,['european'],['sweden'],0.944142758846283,0.0,swe_Latn,1.0,0.2,0.1,0.2,extreme_sample_bottom
<urn:uuid:41a61b1f-f5c5-4f89-ab11-ec3fd8f979d8>,0.18,complete,mostly_navigation,brief,Promotional page for purchasing the antibiotic Tinidazole (Tindamax) online across multiple countries.,"['transactional', 'boilerplate']","['pharmaceutical_biotech', 'retail_commerce']",['non_technical'],empty,unacceptable,general,pure_marketing,time_sensitive,safe,none,none,no_pii,"['european', 'north_american', 'middle_eastern']","['sweden', 'united_kingdom', 'canada', 'croatia', 'portugal', 'belgium', 'czech_republic', 'turkey', 'france', 'switzerland']",0.9965574145317078,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:67a941f9-d2a8-49f0-9bd6-98665aab3b26>,0.08,fragment,minimal_content,minimal,Repetitive headers and pagination links from the official results page of the 2019 Gotland Championship.,['structured_data'],['media_entertainment'],['non_technical'],empty,poor,general,none,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.9838525056838988,0.0,swe_Latn,1.0,0.2,0.0,0.2,extreme_sample_bottom
<urn:uuid:b1eef6b2-655b-4d65-9e31-bc680a1f72ab>,0.18,fragment,minimal_content,minimal,Header fragment from the 2014 Tllberg HalvMarathon results page listing categories and participant counts.,['structured_data'],['general_interest'],['non_technical'],empty,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.949980080127716,1.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
